city,country,observation_timestamp,temp_avg_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction,rain_tomorrow
Cairo,EG,2026-05-19 21:00:00+00,25.42,36,1014,22.21,NE,t
Riyadh,SA,2026-05-19 21:00:00+00,31.66,15,1007,4.36,NW,f
Dubai,AE,2026-05-19 21:00:00+00,30.96,33,1002,12.96,S,f
Baghdad,IQ,2026-05-19 21:00:00+00,24.95,31,1006,14.83,NW,t
Beirut,LB,2026-05-19 21:00:00+00,20.77,70,1012,14.69,S,t
Amman,JO,2026-05-19 21:00:00+00,18.05,36,1014,7.42,W,f
Kuwait City,KW,2026-05-19 21:00:00+00,32.66,32,1005,27.18,NNW,f
Doha,QA,2026-05-19 21:00:00+00,33.57,29,1002,18.50,S,f
Casablanca,MA,2026-05-19 21:00:00+00,19.13,77,1021,14.83,E,t
Tunisia,TN,2026-05-19 21:00:00+00,25.09,26,1022,7.38,NE,f
Cairo,EG,2026-05-19 20:00:00+00,25.42,33,1014,27.79,NE,f
Riyadh,SA,2026-05-19 20:00:00+00,33.15,13,1007,7.96,NNW,f
Dubai,AE,2026-05-19 20:00:00+00,30.96,35,1003,12.96,S,t
Baghdad,IQ,2026-05-19 20:00:00+00,26.95,28,1006,22.21,NW,t
Beirut,LB,2026-05-19 20:00:00+00,20.77,67,1012,22.50,WSW,t
Amman,JO,2026-05-19 20:00:00+00,18.05,36,1014,9.25,W,f
Kuwait City,KW,2026-05-19 20:00:00+00,32.66,38,1005,31.46,NNW,f
Doha,QA,2026-05-19 20:00:00+00,33.99,27,1002,20.38,S,f
Casablanca,MA,2026-05-19 20:00:00+00,19.13,77,1020,14.83,ENE,f
Tunisia,TN,2026-05-19 20:00:00+00,25.86,24,1021,10.48,W,f
Cairo,EG,2026-05-19 19:00:00+00,26.42,34,1013,29.63,NE,t
Riyadh,SA,2026-05-19 19:00:00+00,34.12,12,1006,11.74,NNW,f
Dubai,AE,2026-05-19 19:00:00+00,32.96,27,1004,11.12,S,f
Baghdad,IQ,2026-05-19 19:00:00+00,26.95,28,1005,18.50,NW,t
Beirut,LB,2026-05-19 19:00:00+00,20.21,71,1011,12.64,SE,t
Amman,JO,2026-05-19 19:00:00+00,19.05,39,1014,7.42,W,t
Kuwait City,KW,2026-05-19 19:00:00+00,30.44,51,1004,19.30,N,t
Doha,QA,2026-05-19 19:00:00+00,33.16,35,1003,14.83,S,f
Casablanca,MA,2026-05-19 19:00:00+00,20.19,68,1019,11.12,ENE,f
Tunisia,TN,2026-05-19 19:00:00+00,26.85,23,1020,17.32,W,f
Cairo,EG,2026-05-19 18:00:00+00,28.42,32,1013,33.34,NE,t
Riyadh,SA,2026-05-19 18:00:00+00,35.15,11,1006,12.13,N,f
Dubai,AE,2026-05-19 18:00:00+00,32.96,31,1004,9.25,S,f
Baghdad,IQ,2026-05-19 18:00:00+00,28.95,23,1005,27.79,WNW,f
Beirut,LB,2026-05-19 18:00:00+00,21.32,76,1012,9.86,SSW,t
Amman,JO,2026-05-19 18:00:00+00,21.05,32,1013,18.50,WNW,t
Kuwait City,KW,2026-05-19 18:00:00+00,30.97,31,1003,23.76,N,t
Doha,QA,2026-05-19 18:00:00+00,33.16,36,1003,18.50,SSE,f
Casablanca,MA,2026-05-19 18:00:00+00,20.74,64,1019,12.96,NE,f
Tunisia,TN,2026-05-19 18:00:00+00,28.84,21,1019,20.70,W,f
Cairo,EG,2026-05-19 17:00:00+00,31.42,27,1011,25.92,NNE,f
Riyadh,SA,2026-05-19 17:00:00+00,36.51,10,1005,12.85,NNW,f
Dubai,AE,2026-05-19 17:00:00+00,32.96,35,1004,7.42,SSW,f
Baghdad,IQ,2026-05-19 17:00:00+00,29.95,21,1005,25.92,NW,f
Beirut,LB,2026-05-19 17:00:00+00,21.32,78,1012,11.95,SW,t
Amman,JO,2026-05-19 17:00:00+00,23.05,25,1012,18.50,W,t
Kuwait City,KW,2026-05-19 17:00:00+00,32.16,42,1002,16.56,NNW,f
Doha,QA,2026-05-19 17:00:00+00,33.57,31,1003,16.67,SSE,t
Casablanca,MA,2026-05-19 17:00:00+00,20.74,60,1019,12.96,ENE,f
Tunisia,TN,2026-05-19 17:00:00+00,29.24,20,1019,17.86,W,f
Cairo,EG,2026-05-19 16:00:00+00,33.42,24,1010,24.08,N,f
Riyadh,SA,2026-05-19 16:00:00+00,37.70,9,1005,15.70,NW,f
Dubai,AE,2026-05-19 16:00:00+00,32.96,33,1004,11.12,WSW,f
Baghdad,IQ,2026-05-19 16:00:00+00,31.95,18,1003,38.88,WNW,f
Beirut,LB,2026-05-19 16:00:00+00,22.99,77,1012,4.97,SW,t
Amman,JO,2026-05-19 16:00:00+00,24.05,22,1012,22.21,W,t
Kuwait City,KW,2026-05-19 16:00:00+00,32.90,41,1001,15.44,NNW,f
Doha,QA,2026-05-19 16:00:00+00,32.99,40,1003,18.50,SSE,f
Casablanca,MA,2026-05-19 16:00:00+00,20.74,60,1020,14.83,NNE,f
Tunisia,TN,2026-05-19 16:00:00+00,30.77,20,1019,15.95,W,f
Cairo,EG,2026-05-19 15:00:00+00,33.42,22,1009,20.38,N,f
Riyadh,SA,2026-05-19 15:00:00+00,39.64,8,1005,22.00,NW,f
Dubai,AE,2026-05-19 15:00:00+00,32.96,35,1003,12.96,W,f
Baghdad,IQ,2026-05-19 15:00:00+00,31.95,19,1003,37.04,W,f
Beirut,LB,2026-05-19 15:00:00+00,23.54,73,1011,5.94,WSW,t
Amman,JO,2026-05-19 15:00:00+00,26.05,25,1011,25.92,W,f
Kuwait City,KW,2026-05-19 15:00:00+00,33.94,45,1001,21.85,NW,t
Doha,QA,2026-05-19 15:00:00+00,32.99,38,1003,18.50,SSE,f
Casablanca,MA,2026-05-19 15:00:00+00,20.74,60,1020,12.96,NE,f
Tunisia,TN,2026-05-19 15:00:00+00,30.50,20,1019,14.87,W,f
Cairo,EG,2026-05-19 14:00:00+00,34.42,21,1009,22.21,N,f
Riyadh,SA,2026-05-19 14:00:00+00,41.17,7,1004,26.68,NW,f
Dubai,AE,2026-05-19 14:00:00+00,32.96,40,1003,16.67,W,f
Baghdad,IQ,2026-05-19 14:00:00+00,31.95,19,1003,33.34,W,f
Beirut,LB,2026-05-19 14:00:00+00,24.10,71,1012,3.06,SW,t
Amman,JO,2026-05-19 14:00:00+00,26.05,15,1011,27.79,W,f
Kuwait City,KW,2026-05-19 14:00:00+00,33.68,48,1001,17.96,NW,t
Doha,QA,2026-05-19 14:00:00+00,32.99,38,1003,18.50,SSE,f
Casablanca,MA,2026-05-19 14:00:00+00,20.74,60,1021,12.96,NE,f
Tunisia,TN,2026-05-19 14:00:00+00,30.08,21,1020,10.30,WSW,f
Cairo,EG,2026-05-19 13:00:00+00,34.42,20,1010,22.21,NNW,f
Riyadh,SA,2026-05-19 13:00:00+00,42.27,7,1004,26.53,WNW,f
Dubai,AE,2026-05-19 13:00:00+00,33.96,38,1003,22.21,WNW,f
