pipeline-1  | 2026-05-21 19:28:11,707 - root - INFO - Weather Data Pipeline Scheduler started.
pipeline-1  | 2026-05-21 19:28:11,707 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-21 19:28:11,707 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-21 19:28:12,119 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-21 19:28:16,787 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-21 19:28:16,787 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-21 20:00:16,840 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-21 20:00:16,845 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-21 20:00:16,869 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-21 20:00:20,263 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-21 20:00:20,263 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-21 21:03:52,408 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-21 21:03:52,414 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-21 21:03:52,438 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-21 21:03:55,608 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-21 21:03:55,608 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-21 22:19:39,223 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-21 22:19:39,228 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-21 22:19:39,253 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-21 22:19:42,551 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-21 22:19:42,551 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-21 23:00:19,505 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-21 23:00:19,510 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-21 23:00:19,536 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-21 23:00:24,012 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-21 23:00:24,013 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 00:00:24,231 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 00:00:24,238 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 00:00:24,267 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 00:00:53,640 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 00:00:53,640 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 01:00:53,885 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 01:00:53,889 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 01:00:53,921 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 01:01:08,958 - urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='api.openweathermap.org', port=443): Read timed out. (read timeout=10)")': /data/2.5/weather?q=Riyadh&appid=c7f610680d524c5b5dc56d4a30c424bb&units=metric
pipeline-1  | 2026-05-22 01:01:30,531 - urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='api.openweathermap.org', port=443): Read timed out. (read timeout=10)")': /data/2.5/weather?q=Beirut&appid=c7f610680d524c5b5dc56d4a30c424bb&units=metric
pipeline-1  | 2026-05-22 01:01:46,406 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 01:01:46,406 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 02:00:46,719 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 02:00:46,720 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 02:00:46,751 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 02:00:49,770 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 02:00:49,770 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 03:00:50,051 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 03:00:50,051 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 03:00:50,074 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 03:00:52,907 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 03:00:52,907 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 04:00:53,100 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 04:00:53,104 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 04:00:53,129 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 04:00:56,357 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 04:00:56,357 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 05:00:56,646 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 05:00:56,648 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 05:00:56,678 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 05:00:59,917 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 05:00:59,917 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 06:00:00,182 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 06:00:00,186 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 06:00:00,212 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 06:00:03,153 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 06:00:03,153 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 07:00:03,479 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 07:00:03,483 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 07:00:03,509 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 07:00:06,633 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 07:00:06,633 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 08:00:06,930 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 08:00:06,934 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 08:00:06,959 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 08:00:09,828 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 08:00:09,828 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 09:12:49,904 - root - INFO - Starting scheduled weather data collection...
pipeline-1  | 2026-05-22 09:12:49,910 - src.pipeline - INFO - Initializing Weather Data Pipeline...
pipeline-1  | 2026-05-22 09:12:49,927 - src.transform - INFO - Loaded pre-trained ML models successfully.
pipeline-1  | 2026-05-22 09:12:52,844 - src.pipeline - INFO - Pipeline finished. Status: SUCCESS. Loaded: 10, Rejected: 0
pipeline-1  | 2026-05-22 09:12:52,844 - root - INFO - Scheduled job completed successfully.
pipeline-1  | 2026-05-22 10:00:53,078 - root - INFO - Starting scheduled weather data collection...
